,monitoring,encryption,access control,destruct,logging,transfer,privacy,rights,vulnerability,child,personal data,breach,risk
ETid-875.pdf,0,0,0,2,0,8,5,34,0,4,132,14,13
ETid-552.pdf,0,0,0,0,0,0,0,0,0,0,7,4,0
ETid-1373.pdf,0,0,0,0,0,0,4,57,1,123,48,13,68
ETid-1422.pdf,0,0,0,1,0,1,7,5,0,0,32,14,5
ETid-2317.pdf,3,1,0,3,0,1,2,6,0,0,35,27,16
ETid-847.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0
ETid-1677.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0
ETid-570.pdf,3,5,1,4,0,6,10,61,0,44,374,330,187
ETid-689.pdf,0,0,0,0,0,2,1,22,0,0,140,59,48
ETid-1910.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0
ETid-1461.pdf,2,1,2,5,1,1,3,12,19,0,82,32,32
ETid-930.pdf,3,1,0,3,0,3,1,8,1,0,37,56,19
ETid-1965.pdf,0,1,1,7,0,11,22,112,1,13,245,4,43
ETid-752.pdf,0,2,1,3,0,1,4,7,3,18,24,1,12
ETid-440.pdf,6,2,0,5,0,1,5,9,2,0,107,122,57
ETid-485.pdf,1,0,0,8,2,0,22,15,9,0,346,1138,147
ETid-1564.pdf,1,5,0,3,1,5,0,27,0,0,102,86,105
ETid-1009.pdf,155,0,0,4,0,6,24,48,0,0,240,1,22
ETid-1188.pdf,0,24,0,4,0,2,1,9,10,5,82,28,20
ETid-1190.pdf,15,0,0,0,0,2,3,11,0,1,72,5,5
ETid-987.pdf,1,3,1,5,0,10,5,33,0,1,163,224,79
ETid-2566.pdf,0,2,0,3,0,1,3,15,1,15,67,47,47
ETid-318.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0
ETid-1578.pdf,3,1,0,1,0,3,54,36,0,5,166,20,15
ETid-278.pdf,0,2,2,0,0,0,13,21,0,34,101,101,68
ETid-2561.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0
ETid-820.pdf,1,2,1,3,0,74,303,111,0,15,386,9,52
ETid-2555.pdf,0,0,0,2,0,1,2,10,0,5,66,42,48
ETid-2032.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0
ETid-1352.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0
ETid-1543.pdf,2,0,0,0,1,3,43,151,3,849,268,12,540
ETid-1666.pdf,0,3,2,6,1,1,2,31,0,0,122,80,96
ETid-1696.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0
ETid-1844.pdf,6,8,1,0,1,550,53,185,1,0,251,64,54
ETid-1250.pdf,0,1,0,4,0,1,1,6,0,1,44,16,22
ETid-893.pdf,0,0,0,0,0,0,0,0,0,1,5,3,1
ETid-60.pdf,30,13,2,5,22,2,5,17,2,2,83,101,28
